Visitor,Plant,Date,Site,Data,MinEle,MaxEle,EleZone,Longitude,Latitude
Bombus hortorum,Betonica officinalis,11/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus hortorum,Brunella grandiflora,5/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus hortorum,Brunella grandiflora,8/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus hortorum,Teucrium scorodonia,5/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus hortorum,Teucrium scorodonia,11/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus hortorum,Cirsium monspessulanum,5/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus hortorum,Cirsium monspessulanum,9/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus hortorum,Trifolium pratense,5/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus lapidarius,Verbascum  nigrum,8/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus lapidarius,Thymus serpyllum,26/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus lapidarius,Carlina vulgaris,25/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus lapidarius,Malva moschata,7/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus wurflenii,Verbena officinalis,11/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus wurflenii,Brunella vulgaris,11/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus mesomelas,Echium vulgare,25/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus mesomelas,Satureja montana,25/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus mesomelas,Scabiosa columbaria,25/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus mesomelas,Centaurea nigra,25/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus terrestris complex,Echium vulgare,25/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus terrestris complex,Satureja montana,25/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus terrestris complex,Centaurea nigra,25/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus terrestris complex,Centaurea scabiosa,5/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus terrestris complex,Silene inflata,25/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus terrestris complex,Clematis vitalba,11/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus terrestris complex,Papaver rhaeas,10/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus terrestris complex,Tilia sylvestris,7/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus terrestris complex,Sedum telephium,31/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus terrestris complex,Merendera bulbocodium,25/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus humilis,Merendera bulbocodium,26/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus humilis,Echium vulgare,25/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus humilis,Origanum vulgare,5/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus humilis,Lappa minor,8/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus humilis,Trifolium repens,5/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus humilis,Lathyrus pyrenaicus?,26/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus hortorum,Knautia arvensis,29/8/1889,Gedre,Survey1889,1050,1050,1000-1200,0.020992,42.784748
Bombus terrestris complex,Cirsium monspessulanum,29/8/1889,Gedre,Survey1889,1050,1050,1000-1200,0.020992,42.784748
Bombus hortorum,Aconitum sp.,12/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus terrestris complex,Trifolium repens,8/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus hortorum,Aconitum sp.,8/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
Bombus terrestris complex,Trifolium repens,6/8/1889,Gedre,Survey1889,1100,1100,1000-1200,0.022022,42.783583
