Visitor,Plant,Date,Site,Data,MinEle,MaxEle,EleZone
Bombus bohemicus,Mentha longifolia,24/8/2005,P202,Survey2005-06,1406,1406,1400-1600
Bombus mesomelas,Aconitum sp.,25/8/2005,P203,Survey2005-06,1406,1406,1400-1600
Bombus hortorum,Aconitum sp.,25/8/2005,P203,Survey2005-06,1406,1406,1400-1600
Bombus hortorum,Aconitum sp.,25/8/2005,P203,Survey2005-06,1406,1406,1400-1600
Bombus hortorum,Aconitum sp.,25/8/2005,P203,Survey2005-06,1406,1406,1400-1600
Bombus hortorum,Aconitum sp.,25/8/2005,P203,Survey2005-06,1406,1406,1400-1600
Bombus quadricolor,Mentha longifolia,24/8/2005,P204,Survey2005-06,1406,1406,1400-1600
Bombus lapidarius,Mentha longifolia,24/8/2005,P204,Survey2005-06,1406,1406,1400-1600
Bombus hortorum,Mentha longifolia,24/8/2005,P204,Survey2005-06,1406,1406,1400-1600
Bombus bohemicus,Mentha longifolia,24/8/2005,P204,Survey2005-06,1406,1406,1400-1600
Bombus pascuorum,Cirsium vulgare,28/8/2006,P405,Survey2005-06,1455,1455,1400-1600
Bombus mesomelas,Cirsium vulgare,28/8/2006,P405,Survey2005-06,1455,1455,1400-1600
Bombus lapidarius,Cirsium vulgare,28/8/2006,P406,Survey2005-06,1455,1455,1400-1600
Bombus humilis,Cirsium vulgare,28/8/2006,P406,Survey2005-06,1455,1455,1400-1600
Bombus humilis,Cirsium vulgare,28/8/2006,P406,Survey2005-06,1455,1455,1400-1600
Bombus pascuorum,Cirsium vulgare,28/8/2006,P406,Survey2005-06,1455,1455,1400-1600
Bombus mesomelas,Cirsium vulgare,28/8/2006,P406,Survey2005-06,1455,1455,1400-1600
Bombus soroeensis,Cirsium vulgare,28/8/2006,P406,Survey2005-06,1455,1455,1400-1600
Bombus humilis,Origanum vulgare,28/8/2006,P408,Survey2005-06,1455,1455,1400-1600
